Capacidade_W,Capacidade_V,N_Itens,Algoritmo,Tempo_Medio,Tempo_Std,Valor_Medio,Valor_Std,Tempos_10_Execucoes,Valores_10_Execucoes
120,130,10,Dinamico,0.1341544,0.0048570,553,0.0,"[0.13502979278564453, 0.1344616413116455, 0.1327061653137207, 0.12827372550964355, 0.13277316093444824, 0.1330280303955078, 0.13107657432556152, 0.13033509254455566, 0.14557862281799316, 0.13828086853027344]","[553, 553, 553, 553, 553, 553, 553, 553, 553, 553]"
120,130,10,Backtracking,0.0035874,0.0011044,553,0.0,"[0.002580404281616211, 0.002550840377807617, 0.0031011104583740234, 0.0027158260345458984, 0.0027921199798583984, 0.002741575241088867, 0.005187511444091797, 0.004702091217041016, 0.004879474639892578, 0.0046234130859375]","[553, 553, 553, 553, 553, 553, 553, 553, 553, 553]"
120,130,10,Branch_and_Bound,0.0000785,0.0000074,553,0.0,"[9.870529174804688e-05, 7.963180541992188e-05, 7.43865966796875e-05, 7.367134094238281e-05, 7.987022399902344e-05, 7.653236389160156e-05, 7.62939453125e-05, 7.510185241699219e-05, 7.534027099609375e-05, 7.557868957519531e-05]","[553, 553, 553, 553, 553, 553, 553, 553, 553, 553]"
120,130,20,Dinamico,0.2475357,0.0107814,1065,0.0,"[0.274761438369751, 0.255251407623291, 0.2448287010192871, 0.2477872371673584, 0.24293923377990723, 0.23875975608825684, 0.24763059616088867, 0.24414634704589844, 0.2383584976196289, 0.24089360237121582]","[1065, 1065, 1065, 1065, 1065, 1065, 1065, 1065, 1065, 1065]"
120,130,20,Backtracking,3.5564837,0.0156595,1065,0.0,"[3.5577902793884277, 3.5713751316070557, 3.551549196243286, 3.5321035385131836, 3.5446343421936035, 3.566556215286255, 3.5649545192718506, 3.563836097717285, 3.5336954593658447, 3.5783419609069824]","[1065, 1065, 1065, 1065, 1065, 1065, 1065, 1065, 1065, 1065]"
120,130,20,Branch_and_Bound,0.0001812,0.0000197,1065,0.0,"[0.0001811981201171875, 0.0001609325408935547, 0.00015807151794433594, 0.0002033710479736328, 0.00015807151794433594, 0.00017261505126953125, 0.0002148151397705078, 0.00019931793212890625, 0.00018262863159179688, 0.00018095970153808594]","[1065, 1065, 1065, 1065, 1065, 1065, 1065, 1065, 1065, 1065]"
120,130,30,Dinamico,0.3685288,0.0207148,1471,0.0,"[0.360304594039917, 0.36460232734680176, 0.3648035526275635, 0.37696242332458496, 0.36759352684020996, 0.36206936836242676, 0.35651183128356934, 0.3548009395599365, 0.3535001277923584, 0.42413949966430664]","[1471, 1471, 1471, 1471, 1471, 1471, 1471, 1471, 1471, 1471]"
120,130,30,Branch_and_Bound,0.7641507,0.0056413,1471,0.0,"[0.7668235301971436, 0.7686488628387451, 0.7666263580322266, 0.77508544921875, 0.7640070915222168, 0.7623143196105957, 0.7621135711669922, 0.7540194988250732, 0.7598228454589844, 0.7620458602905273]","[1471, 1471, 1471, 1471, 1471, 1471, 1471, 1471, 1471, 1471]"
120,130,40,Dinamico,0.5015926,0.0082778,1604,0.0,"[0.5071902275085449, 0.506908655166626, 0.5017910003662109, 0.49970412254333496, 0.5136256217956543, 0.5025687217712402, 0.508380651473999, 0.4986734390258789, 0.4860415458679199, 0.4910416603088379]","[1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604]"
120,130,50,Dinamico,0.6263675,0.0156127,1838,0.0,"[0.618091344833374, 0.6438460350036621, 0.6209988594055176, 0.6210823059082031, 0.6310231685638428, 0.6147103309631348, 0.6197657585144043, 0.6147177219390869, 0.6165938377380371, 0.6628458499908447]","[1838, 1838, 1838, 1838, 1838, 1838, 1838, 1838, 1838, 1838]"
120,130,60,Dinamico,0.8141750,0.0141111,2215,0.0,"[0.823045015335083, 0.8150196075439453, 0.7969315052032471, 0.8141288757324219, 0.81488037109375, 0.8145449161529541, 0.80074143409729, 0.8479146957397461, 0.8067147731781006, 0.8078291416168213]","[2215, 2215, 2215, 2215, 2215, 2215, 2215, 2215, 2215, 2215]"
120,130,70,Dinamico,0.8117895,0.0238298,2204,0.0,"[0.7620439529418945, 0.7940385341644287, 0.7855446338653564, 0.82560133934021, 0.8150975704193115, 0.8342161178588867, 0.8198268413543701, 0.8372666835784912, 0.8220229148864746, 0.8222367763519287]","[2204, 2204, 2204, 2204, 2204, 2204, 2204, 2204, 2204, 2204]"
120,130,80,Dinamico,0.9037246,0.0137667,2416,0.0,"[0.9068872928619385, 0.9098978042602539, 0.9110755920410156, 0.8980884552001953, 0.902557373046875, 0.9122216701507568, 0.9075214862823486, 0.9112210273742676, 0.9111065864562988, 0.8666689395904541]","[2416, 2416, 2416, 2416, 2416, 2416, 2416, 2416, 2416, 2416]"
