Capacidade_W,Capacidade_V,N_Itens,Algoritmo,Tempo_Medio,Tempo_Std,Valor_Medio,Valor_Std,Tempos_10_Execucoes,Valores_10_Execucoes
80,100,10,Dinamico,0.0762603,0.0047792,678,0.0,"[0.08281922340393066, 0.07791399955749512, 0.07678008079528809, 0.0815117359161377, 0.0690774917602539, 0.07086467742919922, 0.07228994369506836, 0.07260894775390625, 0.08056044578552246, 0.07817625999450684]","[678, 678, 678, 678, 678, 678, 678, 678, 678, 678]"
80,100,10,Backtracking,0.0035616,0.0008512,678,0.0,"[0.0026836395263671875, 0.002908468246459961, 0.0026743412017822266, 0.0031332969665527344, 0.0026695728302001953, 0.0035598278045654297, 0.004544734954833984, 0.004359722137451172, 0.004412651062011719, 0.004670143127441406]","[678, 678, 678, 678, 678, 678, 678, 678, 678, 678]"
80,100,10,Branch_and_Bound,0.0000849,0.0000050,678,0.0,"[9.369850158691406e-05, 8.463859558105469e-05, 8.225440979003906e-05, 8.153915405273438e-05, 8.130073547363281e-05, 8.058547973632812e-05, 8.654594421386719e-05, 8.130073547363281e-05, 9.393692016601562e-05, 8.296966552734375e-05]","[678, 678, 678, 678, 678, 678, 678, 678, 678, 678]"
80,100,20,Dinamico,0.1291867,0.0055547,975,0.0,"[0.1374220848083496, 0.1337592601776123, 0.13655710220336914, 0.12702107429504395, 0.12226581573486328, 0.12343454360961914, 0.12348365783691406, 0.13245105743408203, 0.12684845924377441, 0.12862443923950195]","[975, 975, 975, 975, 975, 975, 975, 975, 975, 975]"
80,100,20,Backtracking,3.4769339,0.0321385,975,0.0,"[3.50447154045105, 3.491687297821045, 3.4233593940734863, 3.5029616355895996, 3.48297119140625, 3.4257702827453613, 3.470883846282959, 3.4854791164398193, 3.4624195098876953, 3.5193350315093994]","[975, 975, 975, 975, 975, 975, 975, 975, 975, 975]"
80,100,20,Branch_and_Bound,0.0027095,0.0008066,975,0.0,"[0.002168416976928711, 0.002056598663330078, 0.002444028854370117, 0.002343893051147461, 0.0020699501037597656, 0.0023572444915771484, 0.002070903778076172, 0.0037822723388671875, 0.0039310455322265625, 0.003870725631713867]","[975, 975, 975, 975, 975, 975, 975, 975, 975, 975]"
80,100,30,Dinamico,0.1852028,0.0052480,1274,0.0,"[0.19819903373718262, 0.1849043369293213, 0.18733763694763184, 0.18531179428100586, 0.1813507080078125, 0.18596601486206055, 0.1790761947631836, 0.18222403526306152, 0.18174219131469727, 0.18591618537902832]","[1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274]"
80,100,30,Branch_and_Bound,5.7268123,0.3332200,1274,0.0,"[5.8938844203948975, 6.0193305015563965, 5.69335150718689, 6.048551321029663, 6.026344537734985, 6.122277021408081, 5.445950746536255, 5.375656366348267, 5.367001533508301, 5.275774717330933]","[1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274]"
80,100,40,Dinamico,0.2376754,0.0029491,1427,0.0,"[0.2379145622253418, 0.23449420928955078, 0.23626422882080078, 0.24053430557250977, 0.2398378849029541, 0.23929500579833984, 0.23791933059692383, 0.24216961860656738, 0.23584985733032227, 0.23247528076171875]","[1427, 1427, 1427, 1427, 1427, 1427, 1427, 1427, 1427, 1427]"
80,100,50,Dinamico,0.3026250,0.0215788,1503,0.0,"[0.29387331008911133, 0.2919893264770508, 0.29373812675476074, 0.2972445487976074, 0.2979881763458252, 0.3609006404876709, 0.3078277111053467, 0.2864956855773926, 0.28951191902160645, 0.30668091773986816]","[1503, 1503, 1503, 1503, 1503, 1503, 1503, 1503, 1503, 1503]"
80,100,60,Dinamico,0.3689915,0.0259316,1637,0.0,"[0.43799591064453125, 0.3557558059692383, 0.36971521377563477, 0.3554267883300781, 0.379467248916626, 0.36988139152526855, 0.3488004207611084, 0.36162424087524414, 0.3562808036804199, 0.3549671173095703]","[1637, 1637, 1637, 1637, 1637, 1637, 1637, 1637, 1637, 1637]"
80,100,70,Dinamico,0.3996047,0.0074705,1892,0.0,"[0.4020042419433594, 0.3968372344970703, 0.3976011276245117, 0.40038108825683594, 0.39565229415893555, 0.38779520988464355, 0.41567492485046387, 0.39536190032958984, 0.39803242683410645, 0.4067060947418213]","[1892, 1892, 1892, 1892, 1892, 1892, 1892, 1892, 1892, 1892]"
80,100,80,Dinamico,0.4491812,0.0066374,1747,0.0,"[0.45691657066345215, 0.4403681755065918, 0.45636439323425293, 0.449324369430542, 0.4525628089904785, 0.45205235481262207, 0.44454360008239746, 0.4444241523742676, 0.4392993450164795, 0.45595669746398926]","[1747, 1747, 1747, 1747, 1747, 1747, 1747, 1747, 1747, 1747]"
