Capacidade_W,Capacidade_V,N_Itens,Algoritmo,Tempo_Medio,Tempo_Std,Valor_Medio,Valor_Std,Tempos_10_Execucoes,Valores_10_Execucoes
100,120,10,Dinamico,0.1192340,0.0071182,495,0.0,"[0.11518216133117676, 0.11143279075622559, 0.1234586238861084, 0.11513471603393555, 0.1194756031036377, 0.11461853981018066, 0.11513543128967285, 0.1162104606628418, 0.12716293334960938, 0.13452863693237305]","[495, 495, 495, 495, 495, 495, 495, 495, 495, 495]"
100,120,10,Backtracking,0.0043015,0.0011882,495,0.0,"[0.0033805370330810547, 0.0030891895294189453, 0.003216981887817383, 0.003615140914916992, 0.004081249237060547, 0.0034275054931640625, 0.00562739372253418, 0.004977703094482422, 0.0050165653228759766, 0.0065822601318359375]","[495, 495, 495, 495, 495, 495, 495, 495, 495, 495]"
100,120,10,Branch_and_Bound,0.0003042,0.0000186,495,0.0,"[0.000316619873046875, 0.0002970695495605469, 0.0002906322479248047, 0.0003085136413574219, 0.0003020763397216797, 0.0002999305725097656, 0.0002961158752441406, 0.00028705596923828125, 0.0002925395965576172, 0.0003509521484375]","[495, 495, 495, 495, 495, 495, 495, 495, 495, 495]"
100,120,20,Dinamico,0.2239987,0.0196771,656,0.0,"[0.2634925842285156, 0.25417375564575195, 0.2271578311920166, 0.21302199363708496, 0.21014094352722168, 0.20582175254821777, 0.20721220970153809, 0.22257709503173828, 0.21592378616333008, 0.22046542167663574]","[656, 656, 656, 656, 656, 656, 656, 656, 656, 656]"
100,120,20,Backtracking,0.9638793,0.0274171,656,0.0,"[0.9442980289459229, 1.0028445720672607, 0.9348030090332031, 0.9810364246368408, 0.9662842750549316, 0.9315569400787354, 0.9956674575805664, 0.9889740943908691, 0.961500883102417, 0.9318273067474365]","[656, 656, 656, 656, 656, 656, 656, 656, 656, 656]"
100,120,20,Branch_and_Bound,0.1849014,0.0087523,656,0.0,"[0.18240976333618164, 0.1816999912261963, 0.19716954231262207, 0.20186567306518555, 0.17756295204162598, 0.18118000030517578, 0.1780545711517334, 0.1882035732269287, 0.18631887435913086, 0.17454886436462402]","[656, 656, 656, 656, 656, 656, 656, 656, 656, 656]"
100,120,30,Dinamico,0.3431752,0.0183506,695,0.0,"[0.3132913112640381, 0.3130803108215332, 0.350510835647583, 0.3491673469543457, 0.35331296920776367, 0.35644030570983887, 0.355757474899292, 0.36620640754699707, 0.34400343894958496, 0.32998156547546387]","[695, 695, 695, 695, 695, 695, 695, 695, 695, 695]"
100,120,30,Backtracking,38.3489278,2.0029348,695,0.0,"[39.76816177368164, 36.02835130691528, 35.194244146347046, 38.06843280792236, 37.484525203704834, 38.49533224105835, 38.7896568775177, 37.783018350601196, 42.34908890724182, 39.52846646308899]","[695, 695, 695, 695, 695, 695, 695, 695, 695, 695]"
100,120,30,Branch_and_Bound,6.2444758,0.4537194,695,0.0,"[6.990185737609863, 6.154069423675537, 7.094404697418213, 6.165534973144531, 6.368059396743774, 5.887497425079346, 5.857622146606445, 5.811581373214722, 5.9854302406311035, 6.130372762680054]","[695, 695, 695, 695, 695, 695, 695, 695, 695, 695]"
100,120,40,Dinamico,0.4334598,0.0944706,746,0.0,"[0.3584175109863281, 0.6331198215484619, 0.5060675144195557, 0.40099215507507324, 0.47995734214782715, 0.49947452545166016, 0.39397239685058594, 0.35510873794555664, 0.3256959915161133, 0.3817915916442871]","[746, 746, 746, 746, 746, 746, 746, 746, 746, 746]"
100,120,40,Branch_and_Bound,50.7097160,5.3927898,746,0.0,"[50.72891163825989, 56.07987594604492, 46.371904611587524, 45.521711111068726, 45.57232856750488, 46.30858039855957, 45.74476099014282, 57.524970054626465, 56.17717146873474, 57.06694555282593]","[746, 746, 746, 746, 746, 746, 746, 746, 746, 746]"
100,120,50,Dinamico,0.5711510,0.0269809,751,0.0,"[0.5737757682800293, 0.5679581165313721, 0.5549066066741943, 0.5652391910552979, 0.5693550109863281, 0.5552070140838623, 0.5592975616455078, 0.5547869205474854, 0.5654199123382568, 0.6455636024475098]","[751, 751, 751, 751, 751, 751, 751, 751, 751, 751]"
100,120,60,Dinamico,0.6160207,0.0600966,788,0.0,"[0.686790943145752, 0.6990156173706055, 0.567234992980957, 0.5796239376068115, 0.5555412769317627, 0.562995433807373, 0.5736739635467529, 0.6556663513183594, 0.5853590965270996, 0.6943049430847168]","[788, 788, 788, 788, 788, 788, 788, 788, 788, 788]"
100,120,70,Dinamico,0.6393766,0.0478756,830,0.0,"[0.6171169281005859, 0.7068605422973633, 0.5876591205596924, 0.598686695098877, 0.717022180557251, 0.599522590637207, 0.6164455413818359, 0.6880333423614502, 0.6138195991516113, 0.64859938621521]","[830, 830, 830, 830, 830, 830, 830, 830, 830, 830]"
100,120,80,Dinamico,0.8347427,0.0783625,823,0.0,"[0.9032618999481201, 1.0175573825836182, 0.8871819972991943, 0.7997286319732666, 0.8013191223144531, 0.8085253238677979, 0.775587797164917, 0.7699148654937744, 0.7875001430511475, 0.7968499660491943]","[823, 823, 823, 823, 823, 823, 823, 823, 823, 823]"
