Pasta,Arquivo,Algoritmo,N_Itens,W,V,Tempo_Medio,Tempo_Std,Valor_Medio,Valor_Std,Tempos,Valores
N10_V400_variando_W,instancia_W100.txt,Dinamico,10,100,400,0.24990425109863282,0.01807117797373791,512,0.0,"[0.2995600700378418, 0.2565493583679199, 0.24471759796142578, 0.24372267723083496, 0.244157075881958, 0.24193477630615234, 0.24409818649291992, 0.2394418716430664, 0.2449510097503662, 0.23990988731384277]","[512, 512, 512, 512, 512, 512, 512, 512, 512, 512]"
N10_V400_variando_W,instancia_W100.txt,Backtracking,10,100,400,0.002105307579040527,4.6159031454502824e-05,512,0.0,"[0.0021822452545166016, 0.0020606517791748047, 0.0020847320556640625, 0.002151966094970703, 0.00212860107421875, 0.002053499221801758, 0.002071380615234375, 0.0021338462829589844, 0.002132892608642578, 0.0020532608032226562]","[512, 512, 512, 512, 512, 512, 512, 512, 512, 512]"
N10_V400_variando_W,instancia_W100.txt,Branch_and_Bound,10,100,400,0.0002470493316650391,2.5780780099891657e-05,512,0.0,"[0.0002906322479248047, 0.00023126602172851562, 0.00025391578674316406, 0.00022554397583007812, 0.0002372264862060547, 0.0002574920654296875, 0.0002186298370361328, 0.00022077560424804688, 0.0002872943878173828, 0.00024771690368652344]","[512, 512, 512, 512, 512, 512, 512, 512, 512, 512]"
N10_V400_variando_W,instancia_W1600.txt,Dinamico,10,1600,400,4.4558865308761595,0.06400957259596396,594,0.0,"[4.59446382522583, 4.492184638977051, 4.467449426651001, 4.444628715515137, 4.464009761810303, 4.352053165435791, 4.400660276412964, 4.445741176605225, 4.417263746261597, 4.480410575866699]","[594, 594, 594, 594, 594, 594, 594, 594, 594, 594]"
N10_V400_variando_W,instancia_W1600.txt,Backtracking,10,1600,400,0.0022457361221313475,4.1429385465283816e-05,594,0.0,"[0.0023119449615478516, 0.002274751663208008, 0.002227783203125, 0.0022003650665283203, 0.0022258758544921875, 0.002245187759399414, 0.0022449493408203125, 0.0022389888763427734, 0.002304553985595703, 0.0021829605102539062]","[594, 594, 594, 594, 594, 594, 594, 594, 594, 594]"
N10_V400_variando_W,instancia_W1600.txt,Branch_and_Bound,10,1600,400,0.00019350051879882813,1.6870049697732084e-05,594,0.0,"[0.0002105236053466797, 0.000202178955078125, 0.0001785755157470703, 0.0002167224884033203, 0.00017881393432617188, 0.00018072128295898438, 0.00017833709716796875, 0.00021910667419433594, 0.00018143653869628906, 0.00018858909606933594]","[594, 594, 594, 594, 594, 594, 594, 594, 594, 594]"
N10_V400_variando_W,instancia_W200.txt,Dinamico,10,200,400,0.4956598043441772,0.007079291601209536,467,0.0,"[0.48763537406921387, 0.4983553886413574, 0.5043902397155762, 0.49518442153930664, 0.49045300483703613, 0.4889030456542969, 0.4932096004486084, 0.49779772758483887, 0.5097126960754395, 0.49095654487609863]","[467, 467, 467, 467, 467, 467, 467, 467, 467, 467]"
N10_V400_variando_W,instancia_W200.txt,Backtracking,10,200,400,0.0018447637557983398,5.3709808283026214e-05,467,0.0,"[0.0018610954284667969, 0.001836538314819336, 0.0018110275268554688, 0.0018770694732666016, 0.0018260478973388672, 0.0018801689147949219, 0.0017647743225097656, 0.0018215179443359375, 0.001961231231689453, 0.00180816650390625]","[467, 467, 467, 467, 467, 467, 467, 467, 467, 467]"
N10_V400_variando_W,instancia_W200.txt,Branch_and_Bound,10,200,400,0.0002837657928466797,7.512172220834272e-05,467,0.0,"[0.00030040740966796875, 0.00023984909057617188, 0.00023794174194335938, 0.00023603439331054688, 0.00023412704467773438, 0.0002758502960205078, 0.00032138824462890625, 0.0004792213439941406, 0.0002396106719970703, 0.0002732276916503906]","[467, 467, 467, 467, 467, 467, 467, 467, 467, 467]"
N10_V400_variando_W,instancia_W3200.txt,Dinamico,10,3200,400,8.997663402557373,0.06024677912798833,537,0.0,"[9.134055376052856, 8.982896089553833, 9.026860237121582, 9.016823053359985, 9.021791934967041, 8.961314916610718, 8.961902379989624, 8.998890399932861, 8.905632257461548, 8.966467380523682]","[537, 537, 537, 537, 537, 537, 537, 537, 537, 537]"
