Capacidade_W,Capacidade_V,N_Itens,Algoritmo,Tempo_Medio,Tempo_Std,Valor_Medio,Valor_Std,Tempos_10_Execucoes,Valores_10_Execucoes
30,40,10,Dinamico,0.0101657,0,410,0,[0.010165691375732422],[410]
30,40,10,Backtracking,0.0030372,0,410,0,[0.0030372142791748047],[410]
30,40,10,Branch_and_Bound,0.0001020,0,410,0,[0.00010204315185546875],[410]
30,40,12,Dinamico,0.0120447,0,504,0,[0.012044668197631836],[504]
30,40,12,Backtracking,0.0077963,0,504,0,[0.007796287536621094],[504]
30,40,12,Branch_and_Bound,0.0003042,0,504,0,[0.00030422210693359375],[504]
30,40,14,Dinamico,0.0202415,0,410,0,[0.020241498947143555],[410]
30,40,14,Backtracking,0.0195878,0,410,0,[0.01958775520324707],[410]
30,40,14,Branch_and_Bound,0.0003097,0,392,0,[0.0003097057342529297],[392]
30,40,16,Dinamico,0.0236120,0,587,0,[0.023612022399902344],[587]
30,40,16,Backtracking,0.0685542,0,587,0,[0.06855416297912598],[587]
30,40,16,Branch_and_Bound,0.0002248,0,552,0,[0.00022482872009277344],[552]
30,40,18,Dinamico,0.0263350,0,472,0,[0.02633500099182129],[472]
30,40,18,Backtracking,0.0598011,0,472,0,[0.05980110168457031],[472]
30,40,18,Branch_and_Bound,0.0002122,0,400,0,[0.00021219253540039062],[400]
30,40,20,Dinamico,0.0279427,0,645,0,[0.027942657470703125],[645]
30,40,20,Backtracking,0.3993187,0,645,0,[0.3993186950683594],[645]
30,40,20,Branch_and_Bound,0.0003345,0,598,0,[0.0003345012664794922],[598]
30,40,22,Dinamico,0.0307655,0,566,0,[0.030765533447265625],[566]
30,40,22,Backtracking,0.7970245,0,566,0,[0.7970244884490967],[566]
30,40,22,Branch_and_Bound,0.0002065,0,546,0,[0.00020647048950195312],[546]
30,40,24,Dinamico,0.0306618,0,601,0,[0.030661821365356445],[601]
30,40,24,Backtracking,0.6267419,0,601,0,[0.626741886138916],[601]
30,40,24,Branch_and_Bound,0.0002930,0,586,0,[0.0002930164337158203],[586]
30,40,26,Dinamico,0.0318708,0,574,0,[0.03187084197998047],[574]
30,40,26,Backtracking,1.3802948,0,574,0,[1.3802947998046875],[574]
30,40,26,Branch_and_Bound,0.0002344,0,574,0,[0.00023436546325683594],[574]
30,40,30,Dinamico,0.0359805,0,588,0,[0.0359804630279541],[588]
30,40,30,Backtracking,0.9387510,0,588,0,[0.9387509822845459],[588]
30,40,30,Branch_and_Bound,0.0002491,0,568,0,[0.0002491474151611328],[568]
