Capacidade_W,Capacidade_V,N_Itens,Algoritmo,Tempo_Medio,Tempo_Std,Valor_Medio,Valor_Std,Tempos_10_Execucoes,Valores_10_Execucoes
80,100,10,Dinamico,0.0714440,0,457,0,[0.07144403457641602],[457]
80,100,10,Backtracking,0.0030694,0,457,0,[0.0030694007873535156],[457]
80,100,10,Branch_and_Bound,0.0000865,0,457,0,[8.654594421386719e-05],[457]
80,100,12,Dinamico,0.0861714,0,700,0,[0.08617138862609863],[700]
80,100,12,Backtracking,0.0119038,0,700,0,[0.011903762817382812],[700]
80,100,12,Branch_and_Bound,0.0001097,0,700,0,[0.00010967254638671875],[700]
80,100,14,Dinamico,0.1039803,0,797,0,[0.10398030281066895],[797]
80,100,14,Backtracking,0.0622344,0,797,0,[0.06223440170288086],[797]
80,100,14,Branch_and_Bound,0.0001283,0,797,0,[0.00012826919555664062],[797]
80,100,16,Dinamico,0.1059246,0,867,0,[0.10592460632324219],[867]
80,100,16,Backtracking,0.2403269,0,867,0,[0.2403268814086914],[867]
80,100,16,Branch_and_Bound,0.0001438,0,867,0,[0.0001437664031982422],[867]
80,100,18,Dinamico,0.1263340,0,870,0,[0.12633395195007324],[870]
80,100,18,Backtracking,0.9175701,0,870,0,[0.9175701141357422],[870]
80,100,18,Branch_and_Bound,0.0002165,0,870,0,[0.00021648406982421875],[870]
80,100,20,Dinamico,0.1323698,0,928,0,[0.1323697566986084],[928]
80,100,20,Backtracking,3.8456159,0,928,0,[3.845615863800049],[928]
80,100,20,Branch_and_Bound,0.0002832,0,928,0,[0.00028324127197265625],[928]
80,100,22,Dinamico,0.1404269,0,954,0,[0.1404268741607666],[954]
80,100,22,Backtracking,13.9034612,0,954,0,[13.903461217880249],[954]
80,100,22,Branch_and_Bound,0.0004721,0,946,0,[0.00047206878662109375],[946]
80,100,24,Dinamico,0.1577647,0,978,0,[0.15776467323303223],[978]
80,100,24,Backtracking,54.8323987,0,978,0,[54.832398653030396],[978]
80,100,24,Branch_and_Bound,0.0005753,0,977,0,[0.0005753040313720703],[977]
80,100,26,Dinamico,0.1648147,0,1200,0,[0.16481471061706543],[1200]
80,100,26,Branch_and_Bound,0.0002396,0,1200,0,[0.0002396106719970703],[1200]
80,100,30,Dinamico,0.1935599,0,1254,0,[0.19355988502502441],[1254]
80,100,30,Branch_and_Bound,0.0002475,0,1247,0,[0.0002474784851074219],[1247]
