Pasta,Arquivo,Algoritmo,N_Itens,W,V,Tempo_Medio,Tempo_Std,Valor_Medio,Valor_Std,Tempos,Valores
W20_V20_variando_N,instancia_n10.txt,Dinamico,10,20,20,0.0061890602111816405,0.0024151728233399454,411,0.0,"[0.0045261383056640625, 0.009584903717041016, 0.0067594051361083984, 0.0038003921508789062, 0.009140729904174805, 0.0059163570404052734, 0.0038957595825195312, 0.009488821029663086, 0.0037746429443359375, 0.005003452301025391]","[411, 411, 411, 411, 411, 411, 411, 411, 411, 411]"
W20_V20_variando_N,instancia_n10.txt,Backtracking,10,20,20,0.003874063491821289,0.0012733711152081116,411,0.0,"[0.003688335418701172, 0.004521846771240234, 0.004937171936035156, 0.0024416446685791016, 0.0033233165740966797, 0.0042877197265625, 0.006663084030151367, 0.0031061172485351562, 0.0031690597534179688, 0.0026023387908935547]","[411, 411, 411, 411, 411, 411, 411, 411, 411, 411]"
W20_V20_variando_N,instancia_n10.txt,Branch_and_Bound,10,20,20,3.793239593505859e-05,4.226955137570986e-06,411,0.0,"[4.9114227294921875e-05, 3.5762786865234375e-05, 3.695487976074219e-05, 3.814697265625e-05, 3.647804260253906e-05, 3.409385681152344e-05, 3.504753112792969e-05, 3.647804260253906e-05, 3.7670135498046875e-05, 3.9577484130859375e-05]","[411, 411, 411, 411, 411, 411, 411, 411, 411, 411]"
W20_V20_variando_N,instancia_n100.txt,Dinamico,100,20,20,0.03775525093078613,0.009431258524208994,976,0.0,"[0.05815744400024414, 0.044016122817993164, 0.03792619705200195, 0.04562854766845703, 0.03236961364746094, 0.02704477310180664, 0.03805828094482422, 0.03398537635803223, 0.03246045112609863, 0.027905702590942383]","[976, 976, 976, 976, 976, 976, 976, 976, 976, 976]"
W20_V20_variando_N,instancia_n100.txt,Branch_and_Bound,100,20,20,3.0612945556640626e-05,4.697914937823274e-06,885,0.0,"[4.220008850097656e-05, 3.0040740966796875e-05, 2.8371810913085938e-05, 2.8133392333984375e-05, 2.8371810913085938e-05, 3.5762786865234375e-05, 2.8371810913085938e-05, 2.8133392333984375e-05, 2.86102294921875e-05, 2.8133392333984375e-05]","[885, 885, 885, 885, 885, 885, 885, 885, 885, 885]"
W20_V20_variando_N,instancia_n20.txt,Dinamico,20,20,20,0.007993578910827637,0.0012016680092063413,529,0.0,"[0.008162498474121094, 0.007524013519287109, 0.00898432731628418, 0.006065845489501953, 0.008651256561279297, 0.008450031280517578, 0.008594751358032227, 0.009399175643920898, 0.005767822265625, 0.008336067199707031]","[529, 529, 529, 529, 529, 529, 529, 529, 529, 529]"
W20_V20_variando_N,instancia_n20.txt,Backtracking,20,20,20,0.24517786502838135,0.06553660961972498,529,0.0,"[0.2610287666320801, 0.21331477165222168, 0.24770212173461914, 0.23336553573608398, 0.20290923118591309, 0.21356892585754395, 0.42481064796447754, 0.21407413482666016, 0.22193431854248047, 0.2190701961517334]","[529, 529, 529, 529, 529, 529, 529, 529, 529, 529]"
W20_V20_variando_N,instancia_n20.txt,Branch_and_Bound,20,20,20,0.00010404586791992187,2.969014992090586e-05,527,0.0,"[0.00013399124145507812, 0.00013303756713867188, 8.320808410644531e-05, 0.00014710426330566406, 7.295608520507812e-05, 0.00011038780212402344, 7.128715515136719e-05, 0.00012564659118652344, 6.842613220214844e-05, 9.441375732421875e-05]","[527, 527, 527, 527, 527, 527, 527, 527, 527, 527]"
W20_V20_variando_N,instancia_n30.txt,Dinamico,30,20,20,0.01105961799621582,0.003080696522960177,826,0.0,"[0.014053821563720703, 0.01317143440246582, 0.017223596572875977, 0.011715888977050781, 0.011604547500610352, 0.009755849838256836, 0.007920503616333008, 0.008617401123046875, 0.00799417495727539, 0.008538961410522461]","[826, 826, 826, 826, 826, 826, 826, 826, 826, 826]"
W20_V20_variando_N,instancia_n30.txt,Backtracking,30,20,20,30.629218888282775,0.5412139170470363,826,0.0,"[30.740554571151733, 31.0782949924469, 30.614337682724, 31.100378274917603, 30.249305248260498, 31.573341846466064, 30.784111738204956, 30.215038299560547, 29.75004816055298, 30.18677806854248]","[826, 826, 826, 826, 826, 826, 826, 826, 826, 826]"
W20_V20_variando_N,instancia_n30.txt,Branch_and_Bound,30,20,20,9.684562683105468e-05,3.313795260604725e-05,820,0.0,"[0.00010728836059570312, 9.894371032714844e-05, 8.034706115722656e-05, 8.368492126464844e-05, 8.296966552734375e-05, 0.00012564659118652344, 0.0001087188720703125, 0.0001671314239501953, 6.031990051269531e-05, 5.340576171875e-05]","[820, 820, 820, 820, 820, 820, 820, 820, 820, 820]"
W20_V20_variando_N,instancia_n40.txt,Dinamico,40,20,20,0.01399245262145996,0.008743914089461957,890,0.0,"[0.03727889060974121, 0.019023656845092773, 0.012827873229980469, 0.009366989135742188, 0.010428190231323242, 0.009361982345581055, 0.01342916488647461, 0.009393453598022461, 0.009650945663452148, 0.009163379669189453]","[890, 890, 890, 890, 890, 890, 890, 890, 890, 890]"
