Capacidade_W,Capacidade_V,N_Itens,Algoritmo,Tempo_Medio,Tempo_Std,Valor_Medio,Valor_Std,Tempos_10_Execucoes,Valores_10_Execucoes
20,30,10,Dinamico,0.0042860,0.0008515,415,0.0,"[0.003756284713745117, 0.004079580307006836, 0.004608154296875, 0.003826141357421875, 0.0032243728637695312, 0.005041837692260742, 0.004698753356933594, 0.0055658817291259766, 0.005089759826660156, 0.0029692649841308594]","[415, 415, 415, 415, 415, 415, 415, 415, 415, 415]"
20,30,10,Backtracking,0.0009762,0.0002322,415,0.0,"[0.00048041343688964844, 0.00075531005859375, 0.0010218620300292969, 0.0009608268737792969, 0.0009150505065917969, 0.0011224746704101562, 0.0012063980102539062, 0.0009942054748535156, 0.001306772232055664, 0.0009989738464355469]","[415, 415, 415, 415, 415, 415, 415, 415, 415, 415]"
20,30,10,Branch_and_Bound,0.0001405,0.0000091,415,0.0,"[0.00016498565673828125, 0.0001404285430908203, 0.0001423358917236328, 0.0001404285430908203, 0.0001361370086669922, 0.00013518333435058594, 0.00013446807861328125, 0.00013899803161621094, 0.00013399124145507812, 0.0001380443572998047]","[415, 415, 415, 415, 415, 415, 415, 415, 415, 415]"
20,30,100,Dinamico,0.0275409,0.0072606,817,0.0,"[0.02953648567199707, 0.03339648246765137, 0.024225950241088867, 0.02185654640197754, 0.019992828369140625, 0.02142047882080078, 0.029440641403198242, 0.04201316833496094, 0.03325080871582031, 0.02027583122253418]","[817, 817, 817, 817, 817, 817, 817, 817, 817, 817]"
20,30,100,Branch_and_Bound,0.0002046,0.0000195,815,0.0,"[0.0002543926239013672, 0.00021648406982421875, 0.00020074844360351562, 0.00020003318786621094, 0.0002033710479736328, 0.00020503997802734375, 0.00018644332885742188, 0.00019359588623046875, 0.00019741058349609375, 0.0001888275146484375]","[815, 815, 815, 815, 815, 815, 815, 815, 815, 815]"
20,30,20,Dinamico,0.0052185,0.0015954,385,0.0,"[0.0036220550537109375, 0.003643035888671875, 0.004580259323120117, 0.00621342658996582, 0.008874893188476562, 0.006085395812988281, 0.004427194595336914, 0.004620790481567383, 0.005873203277587891, 0.004244804382324219]","[385, 385, 385, 385, 385, 385, 385, 385, 385, 385]"
20,30,20,Backtracking,0.0104800,0.0012437,385,0.0,"[0.01108694076538086, 0.01021432876586914, 0.009387969970703125, 0.009253263473510742, 0.009490966796875, 0.009908676147460938, 0.013107776641845703, 0.011966228485107422, 0.010508060455322266, 0.009876012802124023]","[385, 385, 385, 385, 385, 385, 385, 385, 385, 385]"
20,30,20,Branch_and_Bound,0.0000424,0.0000072,385,0.0,"[5.9604644775390625e-05, 5.1021575927734375e-05, 4.1484832763671875e-05, 4.100799560546875e-05, 4.00543212890625e-05, 3.8623809814453125e-05, 3.838539123535156e-05, 3.814697265625e-05, 3.814697265625e-05, 3.790855407714844e-05]","[385, 385, 385, 385, 385, 385, 385, 385, 385, 385]"
20,30,30,Dinamico,0.0072770,0.0022446,489,0.0,"[0.005293846130371094, 0.006100893020629883, 0.008842706680297852, 0.012478351593017578, 0.00874948501586914, 0.005353212356567383, 0.0060274600982666016, 0.0068395137786865234, 0.005588531494140625, 0.0074961185455322266]","[489, 489, 489, 489, 489, 489, 489, 489, 489, 489]"
20,30,30,Backtracking,0.1304351,0.0064692,489,0.0,"[0.14445233345031738, 0.1324024200439453, 0.13826847076416016, 0.1270596981048584, 0.12583565711975098, 0.12583327293395996, 0.13184237480163574, 0.12639141082763672, 0.12784314155578613, 0.12442183494567871]","[489, 489, 489, 489, 489, 489, 489, 489, 489, 489]"
20,30,30,Branch_and_Bound,0.0000621,0.0000077,489,0.0,"[8.177757263183594e-05, 6.604194641113281e-05, 6.413459777832031e-05, 6.318092346191406e-05, 5.793571472167969e-05, 5.793571472167969e-05, 5.745887756347656e-05, 5.745887756347656e-05, 5.6743621826171875e-05, 5.817413330078125e-05]","[489, 489, 489, 489, 489, 489, 489, 489, 489, 489]"
20,30,40,Dinamico,0.0085588,0.0026983,468,0.0,"[0.0074748992919921875, 0.014380931854248047, 0.012327909469604492, 0.008054018020629883, 0.007236480712890625, 0.006429433822631836, 0.00917196273803711, 0.007305622100830078, 0.006848573684692383, 0.00635838508605957]","[468, 468, 468, 468, 468, 468, 468, 468, 468, 468]"
20,30,40,Branch_and_Bound,0.0001660,0.0000118,468,0.0,"[0.00019359588623046875, 0.00017380714416503906, 0.00016236305236816406, 0.00015997886657714844, 0.00016951560974121094, 0.00016927719116210938, 0.00016379356384277344, 0.0001595020294189453, 0.00015854835510253906, 0.0001499652862548828]","[468, 468, 468, 468, 468, 468, 468, 468, 468, 468]"
20,30,50,Dinamico,0.0107347,0.0028680,539,0.0,"[0.009929656982421875, 0.016354799270629883, 0.015399694442749023, 0.009184122085571289, 0.011466026306152344, 0.010188817977905273, 0.008929967880249023, 0.008990764617919922, 0.008260965347290039, 0.008641719818115234]","[539, 539, 539, 539, 539, 539, 539, 539, 539, 539]"
20,30,50,Branch_and_Bound,0.0001355,0.0000123,533,0.0,"[0.00016450881958007812, 0.0001430511474609375, 0.0001246929168701172, 0.0001239776611328125, 0.00012350082397460938, 0.0001316070556640625, 0.00013828277587890625, 0.00013709068298339844, 0.00013875961303710938, 0.00012946128845214844]","[533, 533, 533, 533, 533, 533, 533, 533, 533, 533]"
20,30,60,Dinamico,0.0123706,0.0035304,715,0.0,"[0.01266336441040039, 0.0208282470703125, 0.016022682189941406, 0.012155294418334961, 0.011355400085449219, 0.009779691696166992, 0.009650945663452148, 0.009901762008666992, 0.010371923446655273, 0.010976791381835938]","[715, 715, 715, 715, 715, 715, 715, 715, 715, 715]"
20,30,60,Branch_and_Bound,0.0001649,0.0000127,715,0.0,"[0.0001938343048095703, 0.00016689300537109375, 0.00016450881958007812, 0.00017189979553222656, 0.0001506805419921875, 0.00014972686767578125, 0.000164031982421875, 0.00016832351684570312, 0.0001652240753173828, 0.00015401840209960938]","[715, 715, 715, 715, 715, 715, 715, 715, 715, 715]"
20,30,70,Dinamico,0.0138145,0.0030451,747,0.0,"[0.0198209285736084, 0.01910233497619629, 0.013934850692749023, 0.01278066635131836, 0.011999368667602539, 0.011938333511352539, 0.012224912643432617, 0.012576818466186523, 0.011914491653442383, 0.011852741241455078]","[747, 747, 747, 747, 747, 747, 747, 747, 747, 747]"
20,30,70,Branch_and_Bound,0.0002586,0.0000201,747,0.0,"[0.0002925395965576172, 0.0002448558807373047, 0.0002353191375732422, 0.00022912025451660156, 0.00024890899658203125, 0.0002510547637939453, 0.00027251243591308594, 0.00027632713317871094, 0.0002722740173339844, 0.000263214111328125]","[747, 747, 747, 747, 747, 747, 747, 747, 747, 747]"
20,30,80,Dinamico,0.0152954,0.0033989,641,0.0,"[0.015735864639282227, 0.02410435676574707, 0.01630091667175293, 0.016217708587646484, 0.014867067337036133, 0.013834476470947266, 0.013420581817626953, 0.012506246566772461, 0.012900352478027344, 0.013066291809082031]","[641, 641, 641, 641, 641, 641, 641, 641, 641, 641]"
20,30,80,Branch_and_Bound,0.0001469,0.0000119,641,0.0,"[0.0001780986785888672, 0.00015020370483398438, 0.00015020370483398438, 0.0001385211944580078, 0.00013947486877441406, 0.0001418590545654297, 0.00014519691467285156, 0.00014662742614746094, 0.0001423358917236328, 0.00013637542724609375]","[641, 641, 641, 641, 641, 641, 641, 641, 641, 641]"
20,30,90,Dinamico,0.0174007,0.0034547,722,0.0,"[0.02257561683654785, 0.02475905418395996, 0.01798272132873535, 0.014825105667114258, 0.015390872955322266, 0.01590442657470703, 0.01628851890563965, 0.015245437622070312, 0.015154123306274414, 0.015881061553955078]","[722, 722, 722, 722, 722, 722, 722, 722, 722, 722]"
20,30,90,Branch_and_Bound,0.0001889,0.0000095,717,0.0,"[0.00020170211791992188, 0.00019621849060058594, 0.00019168853759765625, 0.00017333030700683594, 0.00017952919006347656, 0.0001976490020751953, 0.0001971721649169922, 0.00018262863159179688, 0.00018835067749023438, 0.00018024444580078125]","[717, 717, 717, 717, 717, 717, 717, 717, 717, 717]"
